연도,분기,버스정류장ARS번호,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표,버스정류장_위경도_값
2020,2분기,23156,5094,54770,28137,37790,59254,24870,127.0365188,37.52887293,"37.52887293, 127.0365188"
2020,3분기,23156,5430,56126,29141,37827,58764,25113,127.0365188,37.52887293,"37.52887293, 127.0365188"
2020,4분기,23156,5068,53524,28380,36593,53069,22899,127.0365188,37.52887293,"37.52887293, 127.0365188"
2020,1분기,23157,20499,74512,39236,44728,72241,25391,127.0360981,37.52885099,"37.52885099, 127.0360981"
2020,2분기,23157,20426,74475,39948,46321,73589,26979,127.0360981,37.52885099,"37.52885099, 127.0360981"
2020,3분기,23157,20123,75262,41089,45736,73201,26930,127.0360981,37.52885099,"37.52885099, 127.0360981"
2020,4분기,23157,18600,69454,39403,44405,66249,24227,127.0360981,37.52885099,"37.52885099, 127.0360981"
2020,1분기,23158,9749,72948,50253,71159,133524,44874,127.0395277,37.52813746,"37.52813746, 127.0395277"
2020,2분기,23158,10452,70291,50799,73196,133008,46839,127.0395277,37.52813746,"37.52813746, 127.0395277"
2020,3분기,23158,10355,70709,51621,73644,132028,47177,127.0395277,37.52813746,"37.52813746, 127.0395277"
2020,4분기,23158,8922,66904,50897,71282,123688,42870,127.0395277,37.52813746,"37.52813746, 127.0395277"
2020,1분기,23159,13133,100463,47167,57479,90419,34863,127.0393076,37.5280591,"37.5280591, 127.0393076"
2020,2분기,23159,13261,97983,47642,60817,92565,36335,127.0393076,37.5280591,"37.5280591, 127.0393076"
2020,3분기,23159,13662,101178,49513,61086,92210,36678,127.0393076,37.5280591,"37.5280591, 127.0393076"
2020,4분기,23159,12372,96502,47582,57492,83866,32390,127.0393076,37.5280591,"37.5280591, 127.0393076"
2020,1분기,23160,6895,35222,24383,34442,72536,34838,127.0396184,37.52499163,"37.52499163, 127.0396184"
2020,2분기,23160,7026,34140,24812,35977,73388,35439,127.0396184,37.52499163,"37.52499163, 127.0396184"
2020,3분기,23160,6957,34910,26268,38461,76154,36375,127.0396184,37.52499163,"37.52499163, 127.0396184"
2020,4분기,23160,6225,34184,25237,36422,72949,33768,127.0396184,37.52499163,"37.52499163, 127.0396184"
2020,1분기,23161,8073,57881,31493,41088,68825,32178,127.0378595,37.52285815,"37.52285815, 127.0378595"
2020,2분기,23161,8575,56081,32866,41313,67177,30210,127.0378595,37.52285815,"37.52285815, 127.0378595"
2020,3분기,23161,7848,59171,33814,43327,68154,32049,127.0378595,37.52285815,"37.52285815, 127.0378595"
